NAME,ADDRESS,MOBILE NO,WEBSITE,Column 5,Column 6
SAI ENTERNATIONAL RESIDENTIAL SCHOOL,"RAMDASPUR,NUAGAON,CUTTACK",8114368700,,,
SAI EDUCATIONAL GROUP OF INSTITUTE,"MANGALABAG,CUTTACK",9583111212,no,,
SCHOOL & MASS EDUCATION,CHANDINI CHOWK,6712368085,yes(not responsive),,
SIKHSHA SAMRUDDHI BEST BED INSTITUTE CORP.,LINK RD,9337544428,yes(responsive),,
NARAYAN E TCHNO SCHOOL,NUAPADA,18001023344,no,,
MTS ACADEMY,TELENGA BAZAR,9338883272,yes(no res),,
Siksha Anusthan,nayabazar,8280500484,no,,
The educator ,cda10,7217821414,no,,
CHIRST COLLEGE,Kanika rd,6712301757,yes(no res),,
special 40 innovative school,cda6,7894285602,no,,
the achivers,Mahanadi vihar,9438565153,yes(responsive),,
saraswati science higher secondary school,LINK RD,6713554472,not responsive,,
JAGANATH COACHING OF EDUCTION,nayabazar,7978043513,YES NORMAL,,
KRISHNAMURTY WORLD SCHOOL,JAERIPADA,9438556301,YES NORMAL,,
DREAMLAND EDUCATION,CDA SEC-10,6264496295,NO,,
PRATHIBA CAREER INSTITUTE,SIKHAR PUR,7377151183,NO,,
MISSION SIKHSHA,NIMCHOURI,8480963120,NO,,
THE TENSOR PUBLIC SCHOOL,LINK RD,9337787626,,,
SHAKTI HIGHER SECONDARY SCHOOL,LINK RD,7326003333,yes,,
board of secondary ,"MANGALABAG,CUTTACK",6712415460,NO,,
sai kalinga,rwd colony,9337762799,NO,,
sri aurobindo scienceq,madhupatna,6712341727,NO,,
aalpee higher secondary school,LINK RD,8249682364,NO,,
sai inmfotech,bishram nsagar,6713150022,NO,,
sai kalinga,nayabazar,9439221940,NO,,
board of secondary ,ranhihat,6712415463,NO,,
stewart science college,buxi bazar,6712416007,,,
bpfio-biju pattnaik flim & television,bose campus,6712413968,,,
matrubhban school & college,madhupatna,6712344338,,,
Krishna guideline ,"Netaji Nagar, Cuttack",9090636811,No,,
ThinkZone,CDA SeC-11,9178198947,Normal,,
Stewart  School,"Buxi Bazaar, cuttack",6712415808,Normal,,
SIP Abacos Proffessorpada,Ranihat Colony,9437167532,No,,
JNS Biology,Khan nagar,7008811552,Chindi,,
Computer Institude - Siksha Computer academy,Old LIC Colony Cuttack,9439241592,Chindi,,
FIITJEE cuttack Center,Link Road,6712367105,Chindi,,
Mr. Das Advance Engineering,"Gandarpur, cuttack",8249627694,no,,
Swami Vibekananda Computer Academy,Jhinkiria Cuttack,9348985351,Chindi,,
Our Sapling Play School ,"Tulsipur, Cuttack",7008837972,Chindi,,
Manoj Commerce Institide,"sati Chaura, cuttack",9778878008,,,
Global Indian Modern School,Naya Bazar,9437922692,Chindi,,
institude of Computer Accountant,Bishram Nagar,9338805357,no,,
ICA Edu Skills ,"Arundaya Market, Cuttack",9827222922,Chindi,,
Best Ibps PLANET VIDYA Ssc," Arundaya colony, Cuttack",9437081288,Chindi,,
Anushka Group Of Education,"Nayapalli, BBSR",7978983812,Medium ,,
Skyline Institude of Geoinformatics,"Jyadev vihar, BBSR",7205489030,Thik thak,,
Pioneer Academy ,"Nayapalli, BBSR",9439551002,Thik thak,,
Estern Education Academy,"Satya Vihar, BBSR",9861017593,No,,
ApnaMBA Education Private Limited,"Nayapalli, BBSR",9040500600,Thik thak,,
Edu Manage plus School ERP,Saheed Nagar,9777797668,Thik thak,,
Little Pandits,"Chandra sekharpur, BBSR",7008010189,,,
NMIMT,"Nayapalli, BBSR",8249067012,thik thak,,
"Inspire Academy, bhaubaneswar","Nayapalli, BBSR",9861370976,,,
Vision School of Management and technology,"vani vihar, BBSR",7605995490,thik thak,,
young Tinker academy,"Nayapalli, BBSR",9776060200,thik thak,,
dp acadaemy ,"jaydev bihar,",9776284190,thik thak,,
saikrishna institute,"Nayapalli, BBSR",7381934512,thik thak,,
Get Shikha,"Nayapalli, BBSR",9437326366,NO,,
BRAIN EDUCATION ,ganotri nagar,7008514778,no,,
sli education,pokhariput,8926216414,no,,
kensoft education ,achariya bihar,9040401443,normal,,
sai krishna -institue,"Nayapalli, BBSR",7381934512,normal,,
EDUNEET ,achariya bihar,9556888115,good,,
gaytri educational,siba nagar,9437007103,no,,
regional institue of education ,"nicco park,near bda",6742541409,normal,,
orion education,chadrasekharpur,7205000310,normal,,
lakhsya istitute of technolgy,acharya vihar,6742544690,no,,
global bridge ,patia,8260253323,normal,,
dreamstudies,barmuda,6370414182,good,,
abdul zaheer - best aborad,bhoi nagar,9439484500,no,,
biswa institue of technolgy,irc village,7077777611,no,,
Aptech learning,"Nayapalli, BBSR",7008003364,normal,,
flmyt,pandav nagar,8984334538,normal,,
"kkc science,",chadrasekharpur,9861380804,no,,
cna's gyan gurukul,Saheed Nagar,6372651125,normal,,
ssb edutech assessment and testing center,irc village,9937336999,normal,,
ntechnogy research center pvt ltd,acharya vihar,9040089995,no,,
directorate of distance & continuing,"vani vihar, BBSR",9437156110,no,,
creative school digital marketing,"Chandra sekharpur, BBSR",8455979543,normal,,
URJAA CLASSES BJB NAGAR,KALPANA SQUARE,8270055233,NO,,
ODM public school,pata,18001202316,no,,
truestudez,Saheed Nagar,8709282225,normal,,
silicon university,dlf,9937289499,normal,,
abacus system,sailishree vihar,9853176388,no,,
trupti class ,irc village,9438530541,no,,
city computer education,nayapaili,9861157394,no,,
BIIT COMPUTER EDUCATION,irc village,9583399105,NO,,
OAS HUB,acharya vihar,8926232634,normal,,
Talentele - the best data scenice ,irc village,7205617787,normal,,
blossoms school,bharatpur,9937478699,gd,,
grad xpress ,bhoi nagar,8144887178,no,,
bansal classes,"jaydev bihar,",9078885020,no,,
mahendra institute,barmunda,9237026745,normal,,
SCHOOL & MASS EDUCATION,CHANDINI CHOWK,6712368085,normal,,
educate computer education,bjb nagar,9132088070,normal,,
sri vinayak classes,irc village,6744042402,not responsive,,
tsg gurukul school bhubaneswar,mallipada,9438782020,no,,
mahendra institute,baramunda,9237026745,no,,
"IEEET - BEST BANKINGS ,SSS",irc village,9853302067,GOOD,,
SS CAREERS CARE,SURYA NAGAR,9337223572,NO,,
DYANIMIC SYSTEM,BARMUNDA,8984017909,NO,,
NIOS FC Bhubaneswar,BBSR,9938411423,chindi,,
Future BB SRschool,Patia,6372903300,chindi,,
APtech Aviation Academy,"Nayapalli, BBSR",9861121355,Good,,
Career Point BBSR,"Acharya Vihar, BBSR",8260103344,Normal,,
Sai International School,Patia,9338169966,Good,,
IPER Education ,Raja rani Colony,9238077664,no,,
Excellence Online Education,Jagannath nagar,7008856154,chndi,,
Upasana Education Trust,Jayadev vihar,9650663664,Normal,,
Council Of Boards of School Education,Samantpur BBSR,,chindi,,
School College in BBSR,Patia,6743581446,Normal,,